,0
0,NZ_HG918041.1
1,NZ_CP043933.1
2,CP052240.1
3,NZ_CP018339.1
4,NZ_CP032223.1
5,NZ_CP068707.1
6,NZ_CP080352.1
7,NZ_CP018687.1
8,NZ_CP006799.1
9,CP052236.1
10,CP011314.1
11,NZ_CP068690.1
12,NZ_MT647838.1
13,NZ_CP057067.1
14,NZ_CP053766.1
15,NZ_MW013142.1
16,NZ_CP075257.1
17,NZ_CP053772.1
18,NZ_CP059311.1
19,NZ_MW013146.1
20,NZ_MW013145.1
21,NZ_CP061949.1
22,CP044377.1
23,NZ_CP075455.1
24,NZ_CP018313.1
25,NZ_CP032208.1
26,MW911667.1
27,MW911666.1
28,NZ_CP027156.1
29,MW911669.1
30,MW911668.1
31,MW911671.1
32,MW911670.1
33,NZ_AP018748.1
34,NZ_CP020068.1
35,CP052327.1
36,NZ_CP065953.1
37,NC_016980.1
38,NZ_CP041093.1
39,NZ_CP056276.1
40,LC521840.1
41,LC521849.1
42,NZ_CP023723.1
43,CP044381.1
44,CP052539.1
45,CP018961.1
46,NZ_AP022015.1
47,NZ_CP022612.1
48,NZ_KY913897.1
49,NZ_CP012754.1
50,CP031372.2
51,NZ_CP057314.1
52,NZ_CP034681.1
53,NZ_CP016921.1
54,NZ_CP079139.1
55,NZ_CP050380.1
56,NZ_CP028929.1
57,AP022086.1
58,CP044386.1
59,NZ_AP021951.1
60,NZ_CP026398.1
61,NZ_CP079151.1
62,NZ_CP040726.1
63,NZ_CP008933.1
64,CP056795.1
65,NZ_CP025462.1
66,NZ_CP042868.1
67,CP064821.1
68,NZ_MK552108.1
69,NZ_CP028791.1
70,CP062994.1
71,CP058799.1
72,CP052233.1
73,NZ_AP021984.1
74,NZ_CP036336.1
75,CP052269.1
76,NZ_CP030293.1
77,NZ_LR890313.1
78,CP052558.1
79,NZ_CP040834.1
80,NZ_MW245019.1
81,NZ_CP031818.1
82,NZ_CP015501.1
83,CP041935.1
84,NZ_CP075551.1
85,NZ_CP072906.1
86,NZ_CP050156.1
87,NZ_CP020848.1
88,NZ_CP020854.1
89,MH733011.1
90,NZ_CP069904.1
91,NZ_MK181633.1
92,NZ_CP061962.1
93,NZ_CP075559.1
94,CP052325.1
95,NZ_CP068685.1
96,NZ_LN824134.1
97,NZ_CP064110.1
98,NZ_CP018714.1
99,CP034201.2
100,NZ_CP018720.1
101,MN543575.1
102,NZ_CP018702.1
103,MN543576.1
104,NZ_CP072810.1
105,NZ_CP072809.1
106,NZ_AP023338.1
107,CP052310.1
108,NZ_CP079156.1
109,NZ_MN240794.1
110,NZ_CP017986.1
111,NZ_CP074088.1
112,NZ_CP071820.1
113,NZ_CP071280.1
114,NZ_CP034406.1
115,NZ_CP031580.1
116,CP024507.1
117,NZ_CP050068.1
118,CP052488.1
119,NZ_MF150122.1
120,NZ_MG845201.1
121,NZ_MG288682.1
122,NZ_MG845200.1
123,NZ_CP014776.1
124,NZ_MK191024.1
125,NZ_CP032356.1
126,NZ_MK413721.1
127,NZ_MK262712.1
128,NZ_MK413723.1
129,NZ_MT648512.1
130,NZ_CP018708.1
131,NZ_CP018696.1
132,NZ_CP077784.1
133,NZ_CP065842.1
134,MK649825.1
135,NZ_CP078034.1
136,MN956836.1
137,CP034054.1
138,NZ_CP034046.1
139,CP052242.1
140,NZ_MK413722.1
141,NZ_CP048109.1
142,NZ_LK391770.1
143,NZ_HG969996.1
144,NC_023905.1
145,NC_023904.1
146,NZ_HG969997.1
147,NZ_AP018830.1
148,NZ_CP065832.1
149,NZ_AP022116.1
150,NZ_AP022114.1
151,CP037442.1
152,NZ_CP057037.1
153,NZ_CP057036.1
154,NZ_CP056879.1
155,NZ_MK191023.1
156,NZ_CP061966.1
157,NZ_LT009689.1
158,NC_023906.1
159,NZ_CP012993.2
160,NZ_CP021951.1
161,CP040176.1
162,NZ_MT813036.1
163,NZ_CP038459.1
164,NZ_CP067256.1
165,LC613146.1
166,NZ_LR890752.1
167,NC_013950.1
168,CP048413.1
169,NC_016846.1
170,NZ_CP052762.1
171,NZ_CP076519.1
172,NZ_CP034085.1
173,NZ_CP054266.1
174,NZ_CP021697.1
175,NZ_LR025089.1
176,NZ_CP018340.1
177,CP031811.1
178,NZ_CP070173.1
179,NZ_CP069822.1
180,NZ_LR890667.1
181,NZ_LR890666.1
182,NZ_MT560078.1
183,CP052438.1
184,CP052436.1
185,CP052435.1
186,NZ_CP080104.1
187,NZ_CP080100.1
188,NZ_CP035124.1
189,NZ_LR890501.1
190,NZ_CP024544.1
191,NZ_AP014952.1
192,CP052499.1
193,NZ_CP035211.1
194,CP031563.1
195,NZ_CP056217.1
196,NZ_CP060808.1
197,NZ_CP080351.1
198,NZ_CP023948.1
199,NZ_CP063864.1
200,CP026154.1
201,NZ_CP025577.1
202,NZ_CP047686.1
203,NZ_MW363917.1
204,NZ_MW363914.1
205,NZ_MZ156798.1
206,NZ_MZ156797.1
207,NZ_CP022917.1
208,NZ_CP062998.1
209,NZ_CP025010.1
210,NZ_AP022008.1
211,CP052521.1
212,CP044369.1
213,NZ_CP057100.1
214,NZ_CP056192.1
215,NZ_CP042883.1
216,NZ_CP050828.1
217,NZ_CP050827.1
218,CP056583.1
219,NZ_CP080359.1
220,NZ_MT269837.1
221,NZ_MT269826.1
222,NZ_MT316510.1
223,NZ_MT269849.1
224,NZ_CP071386.1
225,NZ_CP021946.1
226,NZ_CP057068.1
227,NZ_MT269850.1
228,NZ_CP027158.1
229,NZ_CP027614.1
230,NZ_CP059315.1
231,NZ_CP075261.1
232,NZ_CP028479.1
233,NZ_CP039809.1
234,NZ_CP011623.1
235,CP056475.1
236,CP044391.1
237,CP044390.1
238,NZ_CP065839.1
239,NZ_CP070465.1
240,NZ_CP070159.1
241,NZ_CP070089.1
242,NZ_CP070021.1
243,NZ_CP069993.1
244,NZ_CP015387.1
245,NZ_CP065437.1
246,NZ_CP065459.1
247,NC_011281.1
248,NZ_CP029779.1
249,NZ_CP058359.1
250,NZ_CP023488.1
251,CP052263.1
252,CP052504.1
253,NZ_CP059310.1
254,NZ_CP036439.1
255,NZ_LR890416.1
256,NZ_CP061400.1
257,NZ_CP015824.1
258,CP052374.1
259,NZ_AP018673.1
260,NZ_CP050355.1
261,NZ_CP050349.1
262,CP044378.1
263,CP027696.1
264,NZ_CP056434.1
265,NZ_CP056302.1
266,NZ_CP075453.1
267,CP011991.1
268,NZ_CP075318.1
269,NZ_CP061979.1
270,NZ_CP061972.1
271,NZ_CP032189.1
272,NZ_CP031809.1
273,MG288679.1
274,NZ_CP056531.1
275,NZ_CP014669.1
276,CP068028.1
277,NZ_CP011627.1
278,CP052214.1
279,CP052506.1
280,NZ_MN824000.1
281,CP044395.1
282,CP044394.1
283,NZ_CP056308.1
284,NZ_CP034137.1
285,NZ_CP069912.1
286,NZ_CP015754.1
287,NZ_MN832595.1
288,NZ_CP032836.1
289,NZ_CP029724.1
290,NZ_AP022185.1
291,NZ_CP042521.1
292,NZ_MN891678.1
293,NZ_CP032173.1
294,NZ_CP041094.1
295,CP052534.1
296,LC521835.1
297,LC521834.1
298,NZ_CP020903.1
299,NZ_CP050343.1
300,CP056502.1
301,CP052535.1
302,CP052441.1
303,NZ_MN823984.1
304,NZ_MN823986.1
305,NZ_MN661404.1
306,NZ_CP056435.1
307,NZ_CP079657.1
308,NZ_CP073908.1
309,NZ_CP073907.1
310,NZ_CP026163.1
311,NZ_MT647839.1
312,NZ_CP029387.1
313,NZ_CP058362.1
314,NZ_CP047702.1
315,NZ_CP059891.1
316,NZ_CP059890.1
317,MF116002.1
318,NZ_MN823985.1
319,NZ_MN891683.1
320,LC521852.1
321,NZ_CP035384.1
322,NZ_CP012884.1
323,CP030318.1
324,NZ_CP061932.1
325,NZ_CP023916.1
326,LC521854.1
327,NZ_CP030342.1
328,NZ_CP017779.1
329,NZ_MN842291.1
330,NC_021199.1
331,NZ_CP060283.1
332,CP052540.1
333,CP052538.1
334,CP044382.1
335,NZ_CP024459.1
336,NZ_AP022017.1
337,NZ_CP046384.1
338,NZ_CP046382.1
339,NZ_CP070972.1
340,NZ_CP050337.1
341,NZ_MT549899.1
342,NZ_CP034676.1
343,NZ_CP056702.1
344,MT809697.1
345,NZ_CP047337.1
346,NC_019165.1
347,NC_019155.1
348,NZ_MN891675.1
349,NZ_CP057315.1
350,NC_032103.1
351,NZ_LR890516.1
352,NZ_CP025457.1
353,NZ_MT108210.1
354,NZ_CP057461.1
355,NZ_CP079189.1
356,NZ_CP079187.1
357,NZ_CP034131.1
358,NZ_CP024491.1
359,CP052298.1
360,NZ_CP065173.1
361,CP052545.1
362,NZ_CP054398.1
363,NZ_CP036443.1
364,NZ_CP055452.1
365,NZ_CP050379.1
366,NZ_CP034322.1
367,NZ_CP012567.1
368,NZ_CP012566.1
369,NZ_MT129535.1
370,NZ_CP056568.1
371,NZ_CP012572.1
372,NZ_CP012571.1
373,CP052276.1
374,NZ_CP057723.1
375,NZ_CP075288.1
376,NZ_CP063914.1
377,CP044387.1
378,NZ_CP022824.1
379,NZ_CP018999.1
380,NZ_AP021955.1
381,NZ_AP021953.1
382,NZ_CP026397.1
383,NZ_CP026396.1
384,NC_022609.1
385,NZ_MN586817.1
386,NZ_CP015026.1
387,CP056541.1
388,CP052288.1
389,CP052287.1
390,NZ_CP056146.1
391,NZ_CP075888.1
392,NC_025167.1
393,NZ_CP050823.1
394,NZ_CP061392.1
395,NZ_CP061382.1
396,NZ_CP061381.1
397,NZ_CP009115.1
398,NZ_CP031793.1
399,NZ_CP009879.1
400,NZ_CP004000.1
401,NZ_CP063924.1
402,NZ_CP008833.1
403,NZ_KT896504.1
404,NZ_AP022140.1
405,CP063015.1
406,CP035776.1
407,NZ_CP066525.1
408,NZ_CP046943.1
409,NZ_CP046942.1
410,NZ_CP046952.1
411,NZ_CP046950.1
412,NZ_AP021910.1
413,NZ_CP028553.2
414,NZ_CP030067.1
415,NZ_CP030066.1
416,CP008701.1
417,NZ_CP044038.1
418,NZ_CP022926.1
419,NZ_CP066535.1
420,NZ_CP065176.1
421,NZ_CP065168.1
422,NZ_CP065164.1
423,NZ_CP036307.1
424,NZ_CP033949.1
425,NZ_CP033947.1
426,NZ_CP027044.1
427,NZ_CP024040.1
428,NZ_CP021686.1
429,NZ_CP021541.1
430,NZ_AP019690.1
431,NZ_AP019689.1
432,CP052526.1
433,CP052525.1
434,CP052564.1
435,CP052380.1
436,NZ_CP058962.1
437,NZ_CP070599.1
438,NZ_CP070525.1
439,CP043359.1
440,NZ_CP064231.1
441,NZ_CP035204.1
442,NZ_CP035203.1
443,NZ_CP042513.1
444,LR134219.1
445,NZ_CP042869.1
446,NZ_CP040862.1
447,NZ_CP029102.1
448,NZ_AP022437.1
449,CP035907.1
450,NC_025131.1
451,CP064824.1
452,LR890179.1
453,NZ_CP041642.1
454,NZ_CP041640.1
455,CP052266.1
456,KY271404.1
457,NZ_LT991960.1
458,LR890321.1
459,LR890282.1
460,LR890268.1
461,LR890252.1
462,LR890249.1
463,LR890228.1
464,LR890226.1
465,NZ_CP031790.1
466,NZ_CP029583.1
467,LR890513.1
468,LR890477.1
469,LR890452.1
470,LR890440.1
471,LR890439.1
472,LR890401.1
473,LR890389.1
474,CP025516.1
475,NZ_CP047680.1
476,NZ_LR890646.1
477,NZ_LR890565.1
478,LR890628.1
479,LR890599.1
480,NZ_CP061833.1
481,CP052176.1
482,CP052553.1
483,NZ_CP022698.1
484,NZ_CP032186.1
485,NZ_CP022693.2
486,NZ_CP015132.1
487,MF150084.1
488,NZ_MK370991.1
489,NZ_CP047708.1
490,NZ_LR890370.1
491,NZ_CP063899.1
492,CP062995.1
493,NZ_CP022920.1
494,NZ_CP009275.1
495,NC_025166.1
496,NC_016966.1
497,NZ_AP023455.1
498,NZ_CP024876.1
499,NZ_CP027616.1
500,NZ_CP027613.1
501,NZ_CP013713.1
502,NZ_CP079810.1
503,NZ_MW363911.1
504,NZ_CP058326.1
505,NZ_CP070016.1
506,NZ_CP047683.1
507,NZ_AP022528.1
508,NZ_CP018992.1
509,NZ_CP036337.1
510,NZ_CP079182.1
511,NZ_CP079180.1
512,NZ_CP079117.1
513,NZ_CP030303.1
514,NZ_CP030294.1
515,NZ_CP035216.1
516,NZ_CP023417.1
517,NZ_CP067390.1
518,NZ_CP022442.1
519,NC_014016.1
520,NZ_LR890203.1
521,NZ_LR890241.1
522,CP056656.1
523,NC_015154.1
524,NZ_LR890584.1
525,AP021970.1
526,NZ_CP023840.1
527,NZ_LR890357.1
528,NZ_CP028177.1
529,CP052148.1
530,NZ_CP056374.1
531,NZ_CP056426.1
532,NZ_CP056298.1
533,NZ_MW363913.1
534,NZ_MT809701.1
535,NZ_MT809695.1
536,NZ_MT809699.1
537,NZ_CP029591.1
538,NC_025187.1
539,NZ_CP012989.1
540,NZ_LR890427.1
541,NZ_LR890736.1
542,NZ_LR890375.1
543,NZ_CP063907.1
544,CP041937.1
545,NZ_KY798506.1
546,NZ_CP027056.1
547,NZ_LR890423.1
548,NZ_LR890186.1
549,NZ_CP063946.1
550,NZ_CP061843.1
551,NZ_CP027063.3
552,NZ_CP041645.1
553,CP024483.1
554,NZ_CP036322.1
555,NZ_FO834905.1
556,NZ_FO834904.1
557,NZ_CP041949.1
558,CP052218.1
559,NZ_CP075549.1
560,NZ_LR890354.1
561,NZ_AP024174.1
562,NZ_MT439327.1
563,NZ_CP063940.1
564,NZ_CP063944.1
565,CP052570.1
566,NZ_CP072907.1
567,NZ_CP070417.1
568,NZ_MT439326.1
569,NZ_CP063216.1
570,NZ_CP070590.1
